,User,Compound,Positive,Neutral,Negative,Text,Date Created
0,@BBC,0.0,0.0,1.0,0.0,"Running away from your responsibilities on a Friday like... 

#FridayFeeling https://t.co/OSCp8m1KKf",Fri Aug 03 15:59:00 +0000 2018
1,@BBC,0.3612,0.115,0.83,0.055,"RT @BBCRadio4: 🥁 'Why I'm banging the drum for equal pay' 🥁 
Gemma Arterton 🌟💫 speaks out about women's rights and reveals what inspires he…",Fri Aug 03 14:03:46 +0000 2018
2,@BBC,-0.5719,0.084,0.696,0.22,RT @BBCLookNorth: Staff @SheffChildrens pulled out all the stops to make sure this young cancer patient could be a bridesmaid at her parent…,Fri Aug 03 13:40:19 +0000 2018
3,@BBC,0.0,0.0,1.0,0.0,"❤️🦏 A critically endangered Eastern Black Rhino's been born in front of visitors at Chester Zoo.

It's believed the… https://t.co/9CwJGGGtvM",Fri Aug 03 13:20:18 +0000 2018
4,@BBC,0.0,0.0,1.0,0.0,🗣️🚆 Commuters in Toronto are getting travel tips from a very famous voice...  https://t.co/4uAAzg99W3,Fri Aug 03 12:47:36 +0000 2018
5,@BBC,0.0,0.0,1.0,0.0,"😂 @RickyGervais is the king of cringe. 
#Extras https://t.co/NAo9RqbsaT",Fri Aug 03 12:02:03 +0000 2018
6,@BBC,-0.3252,0.0,0.774,0.226,"What's the least popular emoji on Twitter?
👉 https://t.co/nvVIbXZE5C https://t.co/l63JGiR9ZI",Fri Aug 03 11:01:04 +0000 2018
7,@BBC,0.4199,0.189,0.811,0.0,"🛩🛩🛩
Britain's first disabled air display team is getting ready for takeoff! https://t.co/kOxwAFPIEt",Fri Aug 03 08:01:02 +0000 2018
8,@BBC,0.0,0.0,1.0,0.0,"Just 13.2% of the world's oceans could be classed as wilderness, according to new research.
👉… https://t.co/AHjAciuC3G",Fri Aug 03 07:25:03 +0000 2018
9,@BBC,0.2023,0.13,0.87,0.0,"How did you sleep last night? 

Chances are you didn't get enough 💤 https://t.co/noTei8EVzE",Fri Aug 03 07:00:08 +0000 2018
10,@BBC,-0.7579,0.0,0.735,0.265,"Follow the prosecution of a gang that uses drones to deliver drugs to people in prison. 

The Prosecutors | 9pm |… https://t.co/WVohvyXfRF",Thu Aug 02 19:02:04 +0000 2018
11,@BBC,-0.4767,0.0,0.795,0.205,"After suffering from a stroke, Richard turned to baking as a form of therapy. https://t.co/pFJEZ6wDPN",Thu Aug 02 18:00:16 +0000 2018
12,@BBC,-0.7096,0.081,0.64,0.279,The jacket worn by Harrison Ford when he played Han Solo in Star Wars' The Empire Strikes Back is expected to fetch… https://t.co/gKQGexAVQa,Thu Aug 02 17:29:03 +0000 2018
13,@BBC,0.0,0.0,1.0,0.0,"What happened to the boy who chased away the lions? 
#BBCInnovators https://t.co/cc3hhSkCRp",Thu Aug 02 16:01:06 +0000 2018
14,@BBC,0.0,0.0,1.0,0.0,".@ShirleyBallas's great-grandmother, travelled to New York for a new life but the rest of her story is far from pla… https://t.co/rFPEyWNYP5",Thu Aug 02 12:00:15 +0000 2018
15,@BBC,0.0,0.0,1.0,0.0,☔️ A van driver in the Canadian city of Ottawa has been sacked after they were filmed repeatedly splashing pedestri… https://t.co/7cqN64jHCA,Thu Aug 02 11:00:15 +0000 2018
16,@BBC,0.4588,0.231,0.769,0.0,😲 Add Vietnam's breathtaking Golden Bridge to your travel bucket list. https://t.co/ZOQGb7LvZ4,Thu Aug 02 09:59:16 +0000 2018
17,@BBC,-0.296,0.0,0.901,0.099,"RT @BBCRadio4: So where exactly does Alan Bennett stop and @ProfBrianCox begin?
@robinince may have the answer.
More from @themonkeycage he…",Thu Aug 02 09:24:05 +0000 2018
18,@BBC,-0.4215,0.0,0.872,0.128,"In the UK, we use around 7 million disposable coffee cups each day. 

That's 82 tonnes of non-recyclable waste crea… https://t.co/L4OsfxKj7Z",Thu Aug 02 08:00:00 +0000 2018
19,@BBC,-0.25,0.0,0.818,0.182,"How the handmaid became an international protest symbol.
👉 https://t.co/CQ4Q7MmSu9 https://t.co/iBS1uxSx1G",Thu Aug 02 07:28:04 +0000 2018
20,@BBC,0.5719,0.425,0.575,0.0,🎨 Celebrating immigration through street art. https://t.co/6vYjU7MgGM,Thu Aug 02 07:01:02 +0000 2018
21,@BBC,-0.6369,0.0,0.682,0.318,Three things you might not know about domestic abuse. https://t.co/toqVr31d23,Wed Aug 01 18:01:06 +0000 2018
22,@BBC,0.0,0.0,1.0,0.0,📖👀 The boy who has written a book with his eyes. https://t.co/j7TmFadeQk,Wed Aug 01 16:02:02 +0000 2018
23,@BBC,0.0,0.0,1.0,0.0,"A pest controller who discovered a nest with ""around 10-15,000"" wasps in a garage cupboard described his experience… https://t.co/yNxDd1Uqx4",Wed Aug 01 14:03:04 +0000 2018
24,@BBC,0.1779,0.137,0.758,0.104,"🎶 'A lower volume of music encourages healthier eating'

Seven ways in which melody seasons our meals. 
👉… https://t.co/2lCCxlco7L",Wed Aug 01 13:00:29 +0000 2018
25,@BBC,-0.509,0.0,0.829,0.171,"Today is #YorkshireDay! Why not celebrate by eating a full roast dinner wrapped in a Yorkshire pudding? 😍🍗🥕🥔

https://t.co/D1H4QYO2g3",Wed Aug 01 12:02:03 +0000 2018
26,@BBC,0.0,0.0,1.0,0.0,"RT @BBC6Music: 🎧 Which records are you still waiting to hear this year?

Here are 50 albums to look forward to during the rest of 2018 http…",Wed Aug 01 11:56:31 +0000 2018
27,@BBC,0.5859,0.211,0.789,0.0,"✈️ A woman, who fulfilled her air hostess mother's dream by piloting her final flight before retirement, says she f… https://t.co/6E2KzoyCWY",Wed Aug 01 11:00:09 +0000 2018
28,@BBC,0.6114,0.266,0.734,0.0,RT @BBCLeeds: What if animals spoke in a Yorkshire accent? Happy #YorkshireDay! https://t.co/ELm4ot3sQp,Wed Aug 01 09:20:33 +0000 2018
29,@BBC,0.0,0.0,1.0,0.0,"RT @bbcrb: We all know SOMEONE  who needs to do this! 🤰😈😂
@UltraBabyFace https://t.co/zfjN3xA20m",Wed Aug 01 09:20:00 +0000 2018
30,@BBC,0.0,0.0,1.0,0.0,🍣🎣 How did we become hooked on sushi? https://t.co/M6UXeJq9DI,Wed Aug 01 08:01:06 +0000 2018
31,@BBC,-0.5423,0.0,0.863,0.137,A French student has spoken out after she was harassed by a man in a Paris street and then hit in the face when she… https://t.co/65bcKXM3P1,Wed Aug 01 07:27:04 +0000 2018
32,@BBC,0.6369,0.208,0.792,0.0,"""Y'alright love?"" 😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. 

#YorkshireDay

https://t.co/3J8BQGiZM7",Wed Aug 01 07:02:06 +0000 2018
33,@BBC,0.0,0.0,1.0,0.0,"The story of a young girl's choice between Oxford and the university of life...

#AnEducation | 10pm | @BBCFour |… https://t.co/TCSjXsn02B",Tue Jul 31 20:02:08 +0000 2018
34,@BBC,0.5859,0.192,0.808,0.0,"Drama series telling the story of a dysfunctional family, set within a family-run beauty salon.

Age Before Beauty… https://t.co/axP5dYrHMA",Tue Jul 31 19:01:03 +0000 2018
35,@BBC,0.0,0.0,1.0,0.0,How Australia's first gay imam is 'saving lives'. https://t.co/u2QmgRGHCM,Tue Jul 31 18:02:06 +0000 2018
36,@BBC,0.0,0.0,1.0,0.0,"RT @bbcwritersroom: Writer Debbie Horsfield's new @BBCOne drama #AgeBeforeBeauty begins tonight (Tue 31 July) at 9pm. 

We caught up with D…",Tue Jul 31 16:33:01 +0000 2018
37,@BBC,0.0,0.0,1.0,0.0,"The Old Bridge in Mostar is one of Bosnia-Herzegovina's most famous landmarks. 

But does it connect or divide the… https://t.co/lycdJ43HRh",Tue Jul 31 16:01:02 +0000 2018
38,@BBC,0.765,0.266,0.734,0.0,"RT @bbcmusic: ""Hopefully my little messages for train passengers will be a nice surprise and a reminder of the power of music as they go ab…",Tue Jul 31 15:19:43 +0000 2018
39,@BBC,0.636,0.208,0.792,0.0,"Congratulations John! 🎓 A 95-year-old man has graduated from Oxford University, 76 years after he completed his deg… https://t.co/Mjv2UU11be",Tue Jul 31 14:02:05 +0000 2018
40,@BBC,0.0,0.0,1.0,0.0,"Have you ever spotted hidden messages in the Harry Potter films?
#HappyBirthdayHarryPotter https://t.co/LQa8z7fVRz",Tue Jul 31 13:00:23 +0000 2018
